year,cell,doxx,temp,chla,flow,po4x,nh4x,no3x,totn,totp,orgp,orgn,pipx,tocx,tssx,sand,silt,clay,phyt
1997,    53, 0.956E+01, 0.101E+02, 0.000E+00, 0.310E+03, 0.640E+03, 0.298E+04, 0.324E+05, 0.467E+05, 0.161E+04, 0.326E+03, 0.113E+05, 0.648E+03, 0.200E+06, 0.573E+06, 0.286E+05, 0.346E+06, 0.199E+06, 0.000E+00
1998,    53, 0.101E+02, 0.888E+01, 0.000E+00, 0.421E+03, 0.736E+03, 0.315E+04, 0.380E+05, 0.572E+05, 0.201E+04, 0.463E+03, 0.161E+05, 0.816E+03, 0.283E+06, 0.832E+06, 0.416E+05, 0.502E+06, 0.289E+06, 0.000E+00
1999,    53, 0.937E+01, 0.117E+02, 0.000E+00, 0.287E+03, 0.777E+03, 0.292E+04, 0.473E+05, 0.652E+05, 0.256E+04, 0.379E+03, 0.150E+05, 0.140E+04, 0.264E+06, 0.129E+07, 0.645E+05, 0.778E+06, 0.447E+06, 0.000E+00
2000,    53, 0.903E+01, 0.112E+02, 0.000E+00, 0.360E+03, 0.694E+03, 0.360E+04, 0.342E+05, 0.522E+05, 0.219E+04, 0.394E+03, 0.143E+05, 0.110E+04, 0.252E+06, 0.960E+06, 0.480E+05, 0.579E+06, 0.333E+06, 0.000E+00
1991,    47, 0.967E+01, 0.921E+01, 0.000E+00, 0.205E+02, 0.208E+02, 0.182E+03, 0.159E+04, 0.223E+04, 0.639E+02, 0.207E+02, 0.459E+03, 0.224E+02, 0.798E+04, 0.288E+05, 0.144E+04, 0.174E+05, 0.100E+05, 0.000E+00
1992,    47, 0.883E+01, 0.111E+02, 0.000E+00, 0.266E+02, 0.259E+02, 0.218E+03, 0.109E+04, 0.198E+04, 0.909E+02, 0.276E+02, 0.678E+03, 0.374E+02, 0.118E+05, 0.550E+05, 0.275E+04, 0.332E+05, 0.191E+05, 0.000E+00
1993,    47, 0.958E+01, 0.979E+01, 0.000E+00, 0.369E+02, 0.322E+02, 0.260E+03, 0.141E+04, 0.254E+04, 0.119E+03, 0.358E+02, 0.869E+03, 0.508E+02, 0.150E+05, 0.676E+05, 0.338E+04, 0.408E+05, 0.234E+05, 0.000E+00
1994,    47, 0.977E+01, 0.971E+01, 0.000E+00, 0.542E+02, 0.348E+02, 0.298E+03, 0.128E+04, 0.344E+04, 0.202E+03, 0.536E+02, 0.186E+04, 0.113E+03, 0.325E+05, 0.133E+06, 0.662E+04, 0.799E+05, 0.459E+05, 0.000E+00
1995,    47, 0.925E+01, 0.100E+02, 0.000E+00, 0.271E+02, 0.267E+02, 0.229E+03, 0.223E+04, 0.309E+04, 0.930E+02, 0.291E+02, 0.624E+03, 0.371E+02, 0.107E+05, 0.483E+05, 0.241E+04, 0.291E+05, 0.167E+05, 0.000E+00
1996,    47, 0.929E+01, 0.101E+02, 0.000E+00, 0.496E+02, 0.329E+02, 0.293E+03, 0.192E+04, 0.342E+04, 0.137E+03, 0.441E+02, 0.120E+04, 0.596E+02, 0.209E+05, 0.658E+05, 0.329E+04, 0.397E+05, 0.228E+05, 0.000E+00
1997,    47, 0.933E+01, 0.101E+02, 0.000E+00, 0.330E+02, 0.259E+02, 0.232E+03, 0.113E+04, 0.197E+04, 0.751E+02, 0.282E+02, 0.614E+03, 0.209E+02, 0.106E+05, 0.240E+05, 0.120E+04, 0.145E+05, 0.832E+04, 0.000E+00
1998,    47, 0.995E+01, 0.889E+01, 0.000E+00, 0.460E+02, 0.315E+02, 0.261E+03, 0.177E+04, 0.311E+04, 0.113E+03, 0.416E+02, 0.108E+04, 0.400E+02, 0.187E+05, 0.472E+05, 0.236E+04, 0.285E+05, 0.164E+05, 0.000E+00
1999,    47, 0.910E+01, 0.117E+02, 0.000E+00, 0.290E+02, 0.316E+02, 0.233E+03, 0.322E+04, 0.460E+04, 0.146E+03, 0.368E+02, 0.115E+04, 0.773E+02, 0.200E+05, 0.819E+05, 0.410E+04, 0.494E+05, 0.284E+05, 0.000E+00
2000,    47, 0.871E+01, 0.113E+02, 0.000E+00, 0.383E+02, 0.311E+02, 0.275E+03, 0.119E+04, 0.244E+04, 0.125E+03, 0.378E+02, 0.973E+03, 0.562E+02, 0.168E+05, 0.581E+05, 0.290E+04, 0.351E+05, 0.201E+05, 0.000E+00
1991,    81, 0.103E+02, 0.924E+01, 0.000E+00, 0.239E+03, 0.103E+04, 0.364E+04, 0.417E+05, 0.608E+05, 0.257E+04, 0.423E+03, 0.154E+05, 0.112E+04, 0.275E+06, 0.106E+07, 0.480E+05, 0.621E+06, 0.390E+06, 0.000E+00
1992,    81, 0.947E+01, 0.115E+02, 0.000E+00, 0.340E+03, 0.151E+04, 0.440E+04, 0.434E+05, 0.687E+05, 0.359E+04, 0.565E+03, 0.208E+05, 0.151E+04, 0.372E+06, 0.144E+07, 0.658E+05, 0.847E+06, 0.529E+06, 0.000E+00
1993,    81, 0.102E+02, 0.974E+01, 0.000E+00, 0.439E+03, 0.186E+04, 0.621E+04, 0.506E+05, 0.831E+05, 0.468E+04, 0.739E+03, 0.263E+05, 0.208E+04, 0.465E+06, 0.199E+07, 0.907E+05, 0.117E+07, 0.731E+06, 0.000E+00
1994,    81, 0.103E+02, 0.971E+01, 0.000E+00, 0.568E+03, 0.182E+04, 0.542E+04, 0.518E+05, 0.907E+05, 0.532E+04, 0.883E+03, 0.335E+05, 0.261E+04, 0.593E+06, 0.252E+07, 0.117E+06, 0.149E+07, 0.918E+06, 0.000E+00
1995,    81, 0.995E+01, 0.100E+02, 0.000E+00, 0.328E+03, 0.155E+04, 0.515E+04, 0.541E+05, 0.825E+05, 0.445E+04, 0.596E+03, 0.233E+05, 0.231E+04, 0.414E+06, 0.220E+07, 0.999E+05, 0.129E+07, 0.808E+06, 0.000E+00
1996,    81, 0.995E+01, 0.101E+02, 0.000E+00, 0.583E+03, 0.196E+04, 0.604E+04, 0.587E+05, 0.992E+05, 0.521E+04, 0.913E+03, 0.345E+05, 0.234E+04, 0.613E+06, 0.214E+07, 0.981E+05, 0.126E+07, 0.784E+06, 0.000E+00
1997,    81, 0.992E+01, 0.100E+02, 0.000E+00, 0.368E+03, 0.138E+04, 0.502E+04, 0.548E+05, 0.819E+05, 0.324E+04, 0.610E+03, 0.220E+05, 0.125E+04, 0.392E+06, 0.114E+07, 0.526E+05, 0.671E+06, 0.414E+06, 0.000E+00
1998,    81, 0.105E+02, 0.892E+01, 0.000E+00, 0.500E+03, 0.154E+04, 0.506E+04, 0.619E+05, 0.955E+05, 0.389E+04, 0.800E+03, 0.286E+05, 0.155E+04, 0.504E+06, 0.148E+07, 0.671E+05, 0.866E+06, 0.543E+06, 0.000E+00
1999,    81, 0.974E+01, 0.120E+02, 0.000E+00, 0.359E+03, 0.145E+04, 0.456E+04, 0.656E+05, 0.947E+05, 0.424E+04, 0.589E+03, 0.245E+05, 0.219E+04, 0.437E+06, 0.191E+07, 0.871E+05, 0.112E+07, 0.699E+06, 0.000E+00
2000,    81, 0.943E+01, 0.115E+02, 0.000E+00, 0.459E+03, 0.161E+04, 0.664E+04, 0.608E+05, 0.952E+05, 0.438E+04, 0.723E+03, 0.279E+05, 0.204E+04, 0.494E+06, 0.180E+07, 0.813E+05, 0.105E+07, 0.662E+06, 0.000E+00
1991,    82, 0.997E+01, 0.885E+01, 0.000E+00, 0.586E+03, 0.202E+04, 0.566E+04, 0.631E+05, 0.936E+05, 0.412E+04, 0.688E+03, 0.248E+05, 0.142E+04, 0.438E+06, 0.306E+07, 0.151E+06, 0.183E+07, 0.107E+07, 0.000E+00
1992,    82, 0.909E+01, 0.110E+02, 0.000E+00, 0.816E+03, 0.292E+04, 0.719E+04, 0.675E+05, 0.113E+06, 0.744E+04, 0.103E+04, 0.384E+05, 0.349E+04, 0.675E+06, 0.717E+07, 0.353E+06, 0.429E+07, 0.252E+07, 0.000E+00
1993,    82, 0.985E+01, 0.960E+01, 0.000E+00, 0.117E+04, 0.462E+04, 0.953E+04, 0.802E+05, 0.148E+06, 0.120E+05, 0.152E+04, 0.582E+05, 0.584E+04, 0.102E+07, 0.985E+07, 0.482E+06, 0.587E+07, 0.350E+07, 0.000E+00
1994,    82, 0.994E+01, 0.963E+01, 0.000E+00, 0.152E+04, 0.403E+04, 0.994E+04, 0.793E+05, 0.158E+06, 0.110E+05, 0.177E+04, 0.684E+05, 0.522E+04, 0.120E+07, 0.119E+08, 0.590E+06, 0.715E+07, 0.417E+07, 0.000E+00
1995,    82, 0.952E+01, 0.979E+01, 0.000E+00, 0.800E+03, 0.278E+04, 0.807E+04, 0.810E+05, 0.125E+06, 0.713E+04, 0.101E+04, 0.357E+05, 0.333E+04, 0.621E+06, 0.592E+07, 0.290E+06, 0.353E+07, 0.209E+07, 0.000E+00
1996,    82, 0.954E+01, 0.100E+02, 0.000E+00, 0.151E+04, 0.374E+04, 0.106E+05, 0.888E+05, 0.164E+06, 0.966E+04, 0.170E+04, 0.648E+05, 0.422E+04, 0.114E+07, 0.640E+07, 0.313E+06, 0.381E+07, 0.227E+07, 0.000E+00
1997,    82, 0.956E+01, 0.990E+01, 0.000E+00, 0.897E+03, 0.245E+04, 0.768E+04, 0.673E+05, 0.108E+06, 0.475E+04, 0.951E+03, 0.326E+05, 0.136E+04, 0.573E+06, 0.212E+07, 0.105E+06, 0.127E+07, 0.746E+06, 0.000E+00
1998,    82, 0.101E+02, 0.886E+01, 0.000E+00, 0.129E+04, 0.358E+04, 0.926E+04, 0.845E+05, 0.146E+06, 0.755E+04, 0.143E+04, 0.523E+05, 0.255E+04, 0.916E+06, 0.471E+07, 0.230E+06, 0.281E+07, 0.167E+07, 0.000E+00
1999,    82, 0.930E+01, 0.117E+02, 0.000E+00, 0.837E+03, 0.376E+04, 0.753E+04, 0.117E+06, 0.173E+06, 0.100E+05, 0.118E+04, 0.487E+05, 0.510E+04, 0.853E+06, 0.747E+07, 0.366E+06, 0.446E+07, 0.264E+07, 0.000E+00
2000,    82, 0.897E+01, 0.113E+02, 0.000E+00, 0.111E+04, 0.311E+04, 0.948E+04, 0.710E+05, 0.128E+06, 0.786E+04, 0.125E+04, 0.471E+05, 0.350E+04, 0.823E+06, 0.480E+07, 0.235E+06, 0.286E+07, 0.170E+07, 0.000E+00
1991,    79, 0.978E+01, 0.919E+01, 0.000E+00, 0.199E+03, 0.537E+03, 0.185E+04, 0.234E+05, 0.334E+05, 0.125E+04, 0.217E+03, 0.810E+04, 0.500E+03, 0.143E+06, 0.114E+07, 0.568E+05, 0.685E+06, 0.394E+06, 0.000E+00
1992,    79, 0.896E+01, 0.111E+02, 0.000E+00, 0.261E+03, 0.722E+03, 0.229E+04, 0.223E+05, 0.362E+05, 0.211E+04, 0.308E+03, 0.117E+05, 0.108E+04, 0.205E+06, 0.253E+07, 0.127E+06, 0.153E+07, 0.879E+06, 0.000E+00
1993,    79, 0.969E+01, 0.975E+01, 0.000E+00, 0.352E+03, 0.108E+04, 0.286E+04, 0.270E+05, 0.446E+05, 0.304E+04, 0.416E+03, 0.147E+05, 0.155E+04, 0.257E+06, 0.315E+07, 0.157E+06, 0.190E+07, 0.109E+07, 0.000E+00
1994,    79, 0.986E+01, 0.973E+01, 0.000E+00, 0.511E+03, 0.103E+04, 0.325E+04, 0.275E+05, 0.547E+05, 0.368E+04, 0.596E+03, 0.239E+05, 0.205E+04, 0.420E+06, 0.454E+07, 0.227E+06, 0.274E+07, 0.157E+07, 0.000E+00
1995,    79, 0.942E+01, 0.993E+01, 0.000E+00, 0.265E+03, 0.743E+03, 0.270E+04, 0.308E+05, 0.444E+05, 0.215E+04, 0.311E+03, 0.108E+05, 0.110E+04, 0.188E+06, 0.210E+07, 0.105E+06, 0.127E+07, 0.729E+06, 0.000E+00
1996,    79, 0.943E+01, 0.100E+02, 0.000E+00, 0.469E+03, 0.862E+03, 0.326E+04, 0.312E+05, 0.530E+05, 0.258E+04, 0.497E+03, 0.185E+05, 0.122E+04, 0.325E+06, 0.216E+07, 0.108E+06, 0.130E+07, 0.747E+06, 0.000E+00
1997,    79, 0.945E+01, 0.101E+02, 0.000E+00, 0.313E+03, 0.676E+03, 0.260E+04, 0.235E+05, 0.373E+05, 0.154E+04, 0.312E+03, 0.112E+05, 0.554E+03, 0.197E+06, 0.857E+06, 0.429E+05, 0.517E+06, 0.297E+06, 0.000E+00
1998,    79, 0.101E+02, 0.886E+01, 0.000E+00, 0.429E+03, 0.952E+03, 0.303E+04, 0.294E+05, 0.489E+05, 0.217E+04, 0.458E+03, 0.164E+05, 0.764E+03, 0.287E+06, 0.158E+07, 0.787E+05, 0.950E+06, 0.546E+06, 0.000E+00
1999,    79, 0.923E+01, 0.117E+02, 0.000E+00, 0.288E+03, 0.107E+04, 0.259E+04, 0.382E+05, 0.557E+05, 0.296E+04, 0.375E+03, 0.149E+05, 0.152E+04, 0.261E+06, 0.252E+07, 0.126E+06, 0.152E+07, 0.875E+06, 0.000E+00
2000,    79, 0.888E+01, 0.112E+02, 0.000E+00, 0.365E+03, 0.798E+03, 0.317E+04, 0.246E+05, 0.420E+05, 0.226E+04, 0.384E+03, 0.142E+05, 0.108E+04, 0.249E+06, 0.164E+07, 0.822E+05, 0.992E+06, 0.570E+06, 0.000E+00
1991,    77, 0.987E+01, 0.950E+01, 0.000E+00, 0.135E+04, 0.110E+05, 0.163E+05, 0.148E+06, 0.265E+06, 0.138E+05, 0.209E+04, 0.101E+06, 0.681E+03, 0.150E+07, 0.154E+07, 0.692E+05, 0.897E+06, 0.579E+06, 0.000E+00
1992,    77, 0.918E+01, 0.113E+02, 0.000E+00, 0.146E+04, 0.117E+05, 0.159E+05, 0.160E+06, 0.288E+06, 0.146E+05, 0.224E+04, 0.111E+06, 0.695E+03, 0.165E+07, 0.162E+07, 0.733E+05, 0.946E+06, 0.603E+06, 0.000E+00
1993,    77, 0.981E+01, 0.980E+01, 0.000E+00, 0.160E+04, 0.168E+05, 0.205E+05, 0.195E+06, 0.336E+06, 0.202E+05, 0.260E+04, 0.121E+06, 0.779E+03, 0.177E+07, 0.211E+07, 0.940E+05, 0.123E+07, 0.786E+06, 0.000E+00
1994,    77, 0.986E+01, 0.101E+02, 0.000E+00, 0.211E+04, 0.185E+05, 0.221E+05, 0.203E+06, 0.386E+06, 0.234E+05, 0.337E+04, 0.161E+06, 0.152E+04, 0.237E+07, 0.441E+07, 0.195E+06, 0.257E+07, 0.165E+07, 0.000E+00
1995,    77, 0.952E+01, 0.103E+02, 0.000E+00, 0.136E+04, 0.140E+05, 0.220E+05, 0.166E+06, 0.303E+06, 0.179E+05, 0.253E+04, 0.114E+06, 0.136E+04, 0.166E+07, 0.435E+07, 0.193E+06, 0.255E+07, 0.161E+07, 0.000E+00
1996,    77, 0.922E+01, 0.115E+02, 0.000E+00, 0.241E+04, 0.222E+05, 0.258E+05, 0.214E+06, 0.421E+06, 0.275E+05, 0.383E+04, 0.181E+06, 0.142E+04, 0.266E+07, 0.359E+07, 0.162E+06, 0.211E+07, 0.133E+07, 0.000E+00
1997,    77, 0.965E+01, 0.101E+02, 0.000E+00, 0.166E+04, 0.151E+05, 0.197E+05, 0.184E+06, 0.329E+06, 0.184E+05, 0.268E+04, 0.125E+06, 0.709E+03, 0.184E+07, 0.186E+07, 0.835E+05, 0.109E+07, 0.690E+06, 0.000E+00
1998,    77, 0.102E+02, 0.892E+01, 0.000E+00, 0.177E+04, 0.164E+05, 0.215E+05, 0.185E+06, 0.333E+06, 0.199E+05, 0.275E+04, 0.126E+06, 0.728E+03, 0.186E+07, 0.190E+07, 0.840E+05, 0.111E+07, 0.711E+06, 0.000E+00
1999,    77, 0.943E+01, 0.116E+02, 0.000E+00, 0.185E+04, 0.136E+05, 0.185E+05, 0.157E+06, 0.303E+06, 0.179E+05, 0.282E+04, 0.128E+06, 0.146E+04, 0.187E+07, 0.331E+07, 0.147E+06, 0.194E+07, 0.122E+07, 0.000E+00
2000,    77, 0.886E+01, 0.126E+02, 0.000E+00, 0.191E+04, 0.166E+05, 0.226E+05, 0.166E+06, 0.323E+06, 0.216E+05, 0.304E+04, 0.135E+06, 0.198E+04, 0.197E+07, 0.395E+07, 0.180E+06, 0.230E+07, 0.147E+07, 0.000E+00
1991,    85, 0.992E+01, 0.102E+02, 0.108E+00, 0.561E+04, 0.254E+05, 0.915E+05, 0.510E+06, 0.927E+06, 0.448E+05, 0.132E+05, 0.325E+06, 0.619E+04, 0.447E+07, 0.590E+07, 0.219E+06, 0.309E+07, 0.258E+07, 0.751E+04
1992,    85, 0.930E+01, 0.117E+02, 0.123E+00, 0.669E+04, 0.334E+05, 0.991E+05, 0.564E+06, 0.105E+07, 0.545E+05, 0.152E+05, 0.386E+06, 0.589E+04, 0.535E+07, 0.579E+07, 0.213E+06, 0.303E+07, 0.254E+07, 0.101E+05
1993,    85, 0.100E+02, 0.985E+01, 0.115E+00, 0.726E+04, 0.397E+05, 0.106E+06, 0.616E+06, 0.114E+07, 0.636E+05, 0.170E+05, 0.417E+06, 0.689E+04, 0.571E+07, 0.787E+07, 0.284E+06, 0.413E+07, 0.344E+07, 0.103E+05
1994,    85, 0.101E+02, 0.100E+02, 0.860E-01, 0.881E+04, 0.443E+05, 0.110E+06, 0.615E+06, 0.126E+07, 0.761E+05, 0.188E+05, 0.531E+06, 0.129E+05, 0.737E+07, 0.157E+08, 0.581E+06, 0.836E+07, 0.672E+07, 0.936E+04
1995,    85, 0.952E+01, 0.106E+02, 0.189E+00, 0.490E+04, 0.297E+05, 0.890E+05, 0.513E+06, 0.908E+06, 0.494E+05, 0.141E+05, 0.306E+06, 0.560E+04, 0.410E+07, 0.616E+07, 0.236E+06, 0.327E+07, 0.264E+07, 0.114E+05
1996,    85, 0.935E+01, 0.120E+02, 0.107E+00, 0.103E+05, 0.532E+05, 0.123E+06, 0.707E+06, 0.141E+07, 0.851E+05, 0.215E+05, 0.579E+06, 0.104E+05, 0.804E+07, 0.101E+08, 0.357E+06, 0.532E+07, 0.442E+07, 0.136E+05
1997,    85, 0.100E+02, 0.967E+01, 0.180E+00, 0.676E+04, 0.348E+05, 0.918E+05, 0.541E+06, 0.100E+07, 0.541E+05, 0.153E+05, 0.371E+06, 0.403E+04, 0.509E+07, 0.419E+07, 0.146E+06, 0.216E+07, 0.186E+07, 0.150E+05
1998,    85, 0.105E+02, 0.883E+01, 0.163E+00, 0.785E+04, 0.409E+05, 0.957E+05, 0.544E+06, 0.104E+07, 0.653E+05, 0.164E+05, 0.403E+06, 0.792E+04, 0.555E+07, 0.965E+07, 0.340E+06, 0.508E+07, 0.421E+07, 0.158E+05
1999,    85, 0.965E+01, 0.113E+02, 0.206E+00, 0.734E+04, 0.336E+05, 0.102E+06, 0.597E+06, 0.107E+07, 0.579E+05, 0.145E+05, 0.373E+06, 0.976E+04, 0.520E+07, 0.101E+08, 0.375E+06, 0.535E+07, 0.437E+07, 0.187E+05
2000,    85, 0.903E+01, 0.130E+02, 0.131E+00, 0.797E+04, 0.345E+05, 0.104E+06, 0.496E+06, 0.101E+07, 0.628E+05, 0.164E+05, 0.409E+06, 0.119E+05, 0.569E+07, 0.130E+08, 0.497E+06, 0.692E+07, 0.562E+07, 0.129E+05
1991,    52, 0.988E+01, 0.975E+01, 0.000E+00, 0.247E+03, 0.766E+03, 0.414E+04, 0.174E+05, 0.310E+05, 0.136E+04, 0.458E+03, 0.938E+04, 0.136E+03, 0.134E+06, 0.306E+06, 0.137E+05, 0.176E+06, 0.117E+06, 0.000E+00
1992,    52, 0.912E+01, 0.117E+02, 0.000E+00, 0.290E+03, 0.946E+03, 0.433E+04, 0.188E+05, 0.335E+05, 0.155E+04, 0.510E+03, 0.104E+05, 0.984E+02, 0.149E+06, 0.235E+06, 0.105E+05, 0.134E+06, 0.896E+05, 0.000E+00
1993,    52, 0.980E+01, 0.999E+01, 0.000E+00, 0.300E+03, 0.119E+04, 0.474E+04, 0.217E+05, 0.374E+05, 0.186E+04, 0.545E+03, 0.109E+05, 0.122E+03, 0.156E+06, 0.335E+06, 0.149E+05, 0.192E+06, 0.128E+06, 0.000E+00
1994,    52, 0.991E+01, 0.101E+02, 0.000E+00, 0.376E+03, 0.126E+04, 0.492E+04, 0.213E+05, 0.418E+05, 0.219E+04, 0.617E+03, 0.155E+05, 0.317E+03, 0.224E+06, 0.846E+06, 0.377E+05, 0.485E+06, 0.323E+06, 0.000E+00
1995,    52, 0.933E+01, 0.107E+02, 0.000E+00, 0.232E+03, 0.107E+04, 0.432E+04, 0.195E+05, 0.336E+05, 0.176E+04, 0.505E+03, 0.980E+04, 0.188E+03, 0.138E+06, 0.568E+06, 0.253E+05, 0.326E+06, 0.217E+06, 0.000E+00
1996,    52, 0.913E+01, 0.120E+02, 0.000E+00, 0.436E+03, 0.167E+04, 0.536E+04, 0.234E+05, 0.451E+05, 0.265E+04, 0.729E+03, 0.163E+05, 0.245E+03, 0.233E+06, 0.468E+06, 0.209E+05, 0.268E+06, 0.179E+06, 0.000E+00
1997,    52, 0.980E+01, 0.974E+01, 0.000E+00, 0.301E+03, 0.121E+04, 0.436E+04, 0.213E+05, 0.366E+05, 0.185E+04, 0.527E+03, 0.110E+05, 0.106E+03, 0.157E+06, 0.275E+06, 0.123E+05, 0.158E+06, 0.105E+06, 0.000E+00
1998,    52, 0.102E+02, 0.900E+01, 0.000E+00, 0.335E+03, 0.138E+04, 0.451E+04, 0.222E+05, 0.385E+05, 0.209E+04, 0.582E+03, 0.118E+05, 0.126E+03, 0.169E+06, 0.354E+06, 0.158E+05, 0.203E+06, 0.135E+06, 0.000E+00
1999,    52, 0.945E+01, 0.114E+02, 0.000E+00, 0.326E+03, 0.113E+04, 0.447E+04, 0.222E+05, 0.385E+05, 0.190E+04, 0.544E+03, 0.118E+05, 0.227E+03, 0.169E+06, 0.455E+06, 0.203E+05, 0.261E+06, 0.174E+06, 0.000E+00
2000,    52, 0.871E+01, 0.133E+02, 0.000E+00, 0.348E+03, 0.133E+04, 0.502E+04, 0.201E+05, 0.386E+05, 0.230E+04, 0.632E+03, 0.134E+05, 0.337E+03, 0.192E+06, 0.650E+06, 0.290E+05, 0.373E+06, 0.248E+06, 0.000E+00
1991,    56, 0.989E+01, 0.975E+01, 0.000E+00, 0.105E+04, 0.328E+04, 0.939E+04, 0.575E+05, 0.108E+06, 0.497E+04, 0.112E+04, 0.414E+05, 0.569E+03, 0.606E+06, 0.150E+07, 0.668E+05, 0.858E+06, 0.572E+06, 0.000E+00
1992,    56, 0.913E+01, 0.117E+02, 0.000E+00, 0.123E+04, 0.408E+04, 0.101E+05, 0.638E+05, 0.120E+06, 0.571E+04, 0.121E+04, 0.460E+05, 0.422E+03, 0.680E+06, 0.113E+07, 0.505E+05, 0.650E+06, 0.433E+06, 0.000E+00
1993,    56, 0.981E+01, 0.999E+01, 0.000E+00, 0.127E+04, 0.525E+04, 0.112E+05, 0.757E+05, 0.135E+06, 0.713E+04, 0.135E+04, 0.484E+05, 0.530E+03, 0.706E+06, 0.166E+07, 0.740E+05, 0.951E+06, 0.634E+06, 0.000E+00
1994,    56, 0.992E+01, 0.101E+02, 0.000E+00, 0.160E+04, 0.556E+04, 0.119E+05, 0.741E+05, 0.155E+06, 0.856E+04, 0.164E+04, 0.686E+05, 0.137E+04, 0.100E+07, 0.426E+07, 0.190E+06, 0.244E+07, 0.163E+07, 0.000E+00
1995,    56, 0.935E+01, 0.107E+02, 0.000E+00, 0.986E+03, 0.469E+04, 0.103E+05, 0.675E+05, 0.121E+06, 0.678E+04, 0.123E+04, 0.436E+05, 0.856E+03, 0.632E+06, 0.289E+07, 0.129E+06, 0.166E+07, 0.111E+07, 0.000E+00
1996,    56, 0.915E+01, 0.120E+02, 0.000E+00, 0.185E+04, 0.744E+04, 0.135E+05, 0.829E+05, 0.169E+06, 0.104E+05, 0.187E+04, 0.721E+05, 0.109E+04, 0.106E+07, 0.248E+07, 0.111E+06, 0.142E+07, 0.948E+06, 0.000E+00
1997,    56, 0.981E+01, 0.975E+01, 0.000E+00, 0.128E+04, 0.540E+04, 0.106E+05, 0.747E+05, 0.134E+06, 0.722E+04, 0.133E+04, 0.490E+05, 0.495E+03, 0.717E+06, 0.144E+07, 0.643E+05, 0.827E+06, 0.551E+06, 0.000E+00
1998,    56, 0.102E+02, 0.900E+01, 0.000E+00, 0.142E+04, 0.613E+04, 0.109E+05, 0.776E+05, 0.141E+06, 0.813E+04, 0.143E+04, 0.523E+05, 0.570E+03, 0.766E+06, 0.179E+07, 0.800E+05, 0.103E+07, 0.685E+06, 0.000E+00
1999,    56, 0.946E+01, 0.114E+02, 0.000E+00, 0.139E+04, 0.492E+04, 0.109E+05, 0.771E+05, 0.139E+06, 0.719E+04, 0.133E+04, 0.513E+05, 0.938E+03, 0.755E+06, 0.221E+07, 0.988E+05, 0.127E+07, 0.846E+06, 0.000E+00
2000,    56, 0.872E+01, 0.133E+02, 0.000E+00, 0.148E+04, 0.578E+04, 0.127E+05, 0.669E+05, 0.137E+06, 0.868E+04, 0.152E+04, 0.578E+05, 0.137E+04, 0.849E+06, 0.308E+07, 0.137E+06, 0.176E+07, 0.118E+07, 0.000E+00
1991,    87, 0.985E+01, 0.973E+01, 0.000E+00, 0.623E+02, 0.459E+02, 0.770E+03, 0.217E+04, 0.413E+04, 0.156E+03, 0.820E+02, 0.118E+04, 0.282E+02, 0.165E+05, 0.292E+05, 0.130E+04, 0.167E+05, 0.111E+05, 0.000E+00
1992,    87, 0.908E+01, 0.117E+02, 0.000E+00, 0.734E+02, 0.530E+02, 0.818E+03, 0.214E+04, 0.417E+04, 0.161E+03, 0.916E+02, 0.122E+04, 0.168E+02, 0.169E+05, 0.180E+05, 0.803E+03, 0.103E+05, 0.688E+04, 0.000E+00
1993,    87, 0.976E+01, 0.999E+01, 0.000E+00, 0.762E+02, 0.609E+02, 0.857E+03, 0.266E+04, 0.487E+04, 0.181E+03, 0.968E+02, 0.136E+04, 0.231E+02, 0.188E+05, 0.259E+05, 0.115E+04, 0.148E+05, 0.989E+04, 0.000E+00
1994,    87, 0.983E+01, 0.102E+02, 0.000E+00, 0.952E+02, 0.664E+02, 0.898E+03, 0.235E+04, 0.544E+04, 0.252E+03, 0.112E+03, 0.219E+04, 0.736E+02, 0.311E+05, 0.774E+05, 0.345E+04, 0.444E+05, 0.296E+05, 0.000E+00
1995,    87, 0.926E+01, 0.108E+02, 0.000E+00, 0.584E+02, 0.553E+02, 0.766E+03, 0.217E+04, 0.416E+04, 0.183E+03, 0.894E+02, 0.122E+04, 0.386E+02, 0.168E+05, 0.431E+05, 0.192E+04, 0.247E+05, 0.165E+05, 0.000E+00
1996,    87, 0.907E+01, 0.120E+02, 0.000E+00, 0.111E+03, 0.816E+02, 0.995E+03, 0.255E+04, 0.576E+04, 0.270E+03, 0.131E+03, 0.222E+04, 0.574E+02, 0.312E+05, 0.559E+05, 0.249E+04, 0.320E+05, 0.214E+05, 0.000E+00
1997,    87, 0.979E+01, 0.971E+01, 0.000E+00, 0.762E+02, 0.587E+02, 0.791E+03, 0.226E+04, 0.439E+04, 0.173E+03, 0.925E+02, 0.134E+04, 0.219E+02, 0.187E+05, 0.236E+05, 0.105E+04, 0.135E+05, 0.902E+04, 0.000E+00
1998,    87, 0.102E+02, 0.901E+01, 0.000E+00, 0.852E+02, 0.667E+02, 0.833E+03, 0.271E+04, 0.510E+04, 0.198E+03, 0.105E+03, 0.156E+04, 0.257E+02, 0.218E+05, 0.286E+05, 0.128E+04, 0.164E+05, 0.109E+05, 0.000E+00
