year,cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1999,    17, 0.491E+02, 0.249E+05, 0.102E+06, 0.873E+04, 0.155E+05, 0.197E+05, 0.346E+04, 0.103E+05, 0.439E+05, 0.137E+05, 0.274E+06
2000,    17, 0.450E+02, 0.240E+05, 0.818E+05, 0.103E+05, 0.153E+05, 0.178E+05, 0.315E+04, 0.727E+04, 0.434E+05, 0.104E+05, 0.219E+06
1991,    95, 0.307E+01, 0.133E+04, 0.422E+04, 0.358E+04, 0.408E+03, 0.784E+03, 0.125E+03, 0.655E+03, 0.477E+04, 0.780E+03, 0.879E+04
1992,    95, 0.305E+01, 0.132E+04, 0.392E+04, 0.356E+04, 0.405E+03, 0.779E+03, 0.106E+03, 0.552E+03, 0.474E+04, 0.658E+03, 0.835E+04
1993,    95, 0.401E+01, 0.173E+04, 0.661E+04, 0.467E+04, 0.531E+03, 0.102E+04, 0.105E+03, 0.551E+03, 0.622E+04, 0.656E+03, 0.113E+05
1994,    95, 0.312E+01, 0.135E+04, 0.303E+04, 0.364E+04, 0.414E+03, 0.797E+03, 0.929E+02, 0.487E+03, 0.485E+04, 0.580E+03, 0.713E+04
1995,    95, 0.281E+01, 0.216E+04, 0.363E+04, 0.327E+04, 0.373E+03, 0.717E+03, 0.758E+02, 0.398E+03, 0.436E+04, 0.474E+03, 0.984E+04
1996,    95, 0.385E+01, 0.290E+04, 0.661E+04, 0.449E+04, 0.511E+03, 0.983E+03, 0.112E+03, 0.590E+03, 0.598E+04, 0.702E+03, 0.911E+04
1997,    95, 0.332E+01, 0.238E+04, 0.354E+04, 0.268E+04, 0.190E+04, 0.586E+03, 0.635E+02, 0.335E+03, 0.516E+04, 0.398E+03, 0.797E+04
1998,    95, 0.407E+01, 0.300E+04, 0.443E+04, 0.299E+04, 0.268E+04, 0.655E+03, 0.879E+02, 0.466E+03, 0.632E+04, 0.554E+03, 0.889E+04
1999,    95, 0.343E+01, 0.231E+04, 0.476E+04, 0.262E+04, 0.213E+04, 0.574E+03, 0.864E+02, 0.457E+03, 0.532E+04, 0.544E+03, 0.864E+04
2000,    95, 0.371E+01, 0.252E+04, 0.614E+04, 0.200E+04, 0.200E+04, 0.175E+04, 0.888E+02, 0.472E+03, 0.575E+04, 0.561E+03, 0.102E+05
1991,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1992,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1993,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1994,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1995,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1996,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
