     cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
    20, 0.294E+03, 0.139E+06, 0.447E+06, 0.322E+06, 0.259E+06, 0.883E+05, 0.265E+05, 0.618E+05, 0.669E+06, 0.883E+05, 0.567E+06
    36, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    16, 0.143E+00, 0.569E+02, 0.370E+03, 0.585E+03, 0.660E+04, 0.630E+03, 0.247E+03, 0.578E+03, 0.781E+04, 0.825E+03, 0.937E+03
    26, 0.120E+02, 0.595E+04, 0.763E+04, 0.439E+04, 0.145E+05, 0.207E+04, 0.301E+03, 0.732E+03, 0.210E+05, 0.103E+04, 0.184E+05
    30, 0.166E+01, 0.729E+03, 0.356E+04, 0.166E+04, 0.179E+04, 0.506E+03, 0.143E+03, 0.349E+03, 0.395E+04, 0.492E+03, 0.369E+04
    66, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
    24, 0.667E+00, 0.288E+03, 0.173E+04, 0.861E+03, 0.323E+02, 0.183E+03, 0.417E+02, 0.102E+03, 0.108E+04, 0.144E+03, 0.144E+04
    10, 0.137E+04, 0.586E+06, 0.347E+06, 0.129E+06, 0.119E+06, 0.362E+05, 0.997E+04, 0.211E+05, 0.284E+06, 0.310E+05, 0.330E+07
    19, 0.121E+04, 0.519E+06, 0.148E+07, 0.810E+06, 0.380E+06, 0.215E+06, 0.438E+05, 0.955E+05, 0.140E+07, 0.139E+06, 0.197E+07
    11, 0.306E+03, 0.133E+06, 0.471E+06, 0.341E+06, 0.171E+06, 0.846E+05, 0.149E+05, 0.309E+05, 0.597E+06, 0.458E+05, 0.601E+06
     0, 0.218E+01, 0.846E+03, 0.237E+04, 0.906E+02, 0.110E+04, 0.103E+03, 0.518E+02, 0.121E+03, 0.129E+04, 0.172E+03, 0.475E+00
    62, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
